slug,url,game,category,primary,tier,keyword,intent,placement,validated
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,boss rummy beginner guide,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,long-tail,boss rummy game guide,informational,FAQ question or subsection,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,modifier,boss rummy rummy,commercial,body / category hub,NO
boss-rummy,/games/boss-rummy.html,Boss Rummy,Rummy,boss rummy,modifier,best rummy yono app,commercial,body / category hub,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,primary,game rummy,navigational,H1 + title + intro,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy app,navigational,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy game,navigational,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy download,transactional,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy apk,transactional,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy online,navigational,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy android,navigational,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy latest version,navigational,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,secondary,game rummy login,transactional,H2 / spec table / body,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,what is game rummy,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,how to play game rummy,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,game rummy how to download,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,is game rummy safe,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,game rummy app details,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,game rummy supported devices,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,game rummy beginner guide,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,long-tail,game rummy game guide,informational,FAQ question or subsection,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,modifier,game rummy rummy,commercial,body / category hub,NO
game-rummy,/games/game-rummy.html,Game Rummy,Rummy,game rummy,modifier,best rummy yono app,commercial,body / category hub,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,primary,gogo rummy,navigational,H1 + title + intro,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy app,navigational,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy game,navigational,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy download,transactional,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy apk,transactional,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy online,navigational,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy android,navigational,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy latest version,navigational,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,secondary,gogo rummy login,transactional,H2 / spec table / body,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,what is gogo rummy,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,how to play gogo rummy,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,gogo rummy how to download,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,is gogo rummy safe,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,gogo rummy app details,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,gogo rummy supported devices,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,gogo rummy beginner guide,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,long-tail,gogo rummy game guide,informational,FAQ question or subsection,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,modifier,gogo rummy rummy,commercial,body / category hub,NO
gogo-rummy,/games/gogo-rummy.html,GoGo Rummy,Rummy,gogo rummy,modifier,best rummy yono app,commercial,body / category hub,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,primary,gold rummy,navigational,H1 + title + intro,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy app,navigational,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy game,navigational,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy download,transactional,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy apk,transactional,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy online,navigational,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy android,navigational,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy latest version,navigational,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,secondary,gold rummy login,transactional,H2 / spec table / body,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,what is gold rummy,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,how to play gold rummy,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,gold rummy how to download,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,is gold rummy safe,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,gold rummy app details,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,gold rummy supported devices,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,gold rummy beginner guide,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,long-tail,gold rummy game guide,informational,FAQ question or subsection,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,modifier,gold rummy rummy,commercial,body / category hub,NO
gold-rummy,/games/gold-rummy.html,Gold Rummy,Rummy,gold rummy,modifier,best rummy yono app,commercial,body / category hub,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,primary,hi rummy,navigational,H1 + title + intro,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy app,navigational,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy game,navigational,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy download,transactional,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy apk,transactional,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy online,navigational,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy android,navigational,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy latest version,navigational,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,secondary,hi rummy login,transactional,H2 / spec table / body,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,what is hi rummy,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,how to play hi rummy,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,hi rummy how to download,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,is hi rummy safe,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,hi rummy app details,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,hi rummy supported devices,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,hi rummy beginner guide,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,long-tail,hi rummy game guide,informational,FAQ question or subsection,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,modifier,hi rummy rummy,commercial,body / category hub,NO
hi-rummy,/games/hi-rummy.html,Hi Rummy,Rummy,hi rummy,modifier,best rummy yono app,commercial,body / category hub,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,primary,ind rummy,navigational,H1 + title + intro,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy app,navigational,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy game,navigational,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy download,transactional,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy apk,transactional,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy online,navigational,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy android,navigational,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy latest version,navigational,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,secondary,ind rummy login,transactional,H2 / spec table / body,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,what is ind rummy,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,how to play ind rummy,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,ind rummy how to download,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,is ind rummy safe,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,ind rummy app details,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,ind rummy supported devices,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,ind rummy beginner guide,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,long-tail,ind rummy game guide,informational,FAQ question or subsection,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,modifier,ind rummy rummy,commercial,body / category hub,NO
ind-rummy,/games/ind-rummy.html,Ind Rummy,Rummy,ind rummy,modifier,best rummy yono app,commercial,body / category hub,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,primary,inr rummy,navigational,H1 + title + intro,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy app,navigational,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy game,navigational,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy download,transactional,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy apk,transactional,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy online,navigational,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy android,navigational,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy latest version,navigational,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,secondary,inr rummy login,transactional,H2 / spec table / body,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,what is inr rummy,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,how to play inr rummy,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,inr rummy how to download,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,is inr rummy safe,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,inr rummy app details,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,inr rummy supported devices,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,inr rummy beginner guide,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,long-tail,inr rummy game guide,informational,FAQ question or subsection,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,modifier,inr rummy rummy,commercial,body / category hub,NO
inr-rummy,/games/inr-rummy.html,INR Rummy,Rummy,inr rummy,modifier,best rummy yono app,commercial,body / category hub,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,primary,jaiho rummy,navigational,H1 + title + intro,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy app,navigational,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy game,navigational,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy download,transactional,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy apk,transactional,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy online,navigational,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy android,navigational,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy latest version,navigational,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,secondary,jaiho rummy login,transactional,H2 / spec table / body,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,what is jaiho rummy,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,how to play jaiho rummy,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,jaiho rummy how to download,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,is jaiho rummy safe,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,jaiho rummy app details,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,jaiho rummy supported devices,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,jaiho rummy beginner guide,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,long-tail,jaiho rummy game guide,informational,FAQ question or subsection,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,modifier,jaiho rummy rummy,commercial,body / category hub,NO
jaiho-rummy,/games/jaiho-rummy.html,JaiHo Rummy,Rummy,jaiho rummy,modifier,best rummy yono app,commercial,body / category hub,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,primary,joy rummy,navigational,H1 + title + intro,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy app,navigational,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy game,navigational,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy download,transactional,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy apk,transactional,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy online,navigational,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy android,navigational,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy latest version,navigational,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,secondary,joy rummy login,transactional,H2 / spec table / body,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,what is joy rummy,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,how to play joy rummy,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,joy rummy how to download,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,is joy rummy safe,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,joy rummy app details,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,joy rummy supported devices,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,joy rummy beginner guide,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,long-tail,joy rummy game guide,informational,FAQ question or subsection,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,modifier,joy rummy rummy,commercial,body / category hub,NO
joy-rummy,/games/joy-rummy.html,Joy Rummy,Rummy,joy rummy,modifier,best rummy yono app,commercial,body / category hub,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,primary,love rummy,navigational,H1 + title + intro,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy app,navigational,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy game,navigational,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy download,transactional,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy apk,transactional,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy online,navigational,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy android,navigational,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy latest version,navigational,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,secondary,love rummy login,transactional,H2 / spec table / body,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,what is love rummy,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,how to play love rummy,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,love rummy how to download,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,is love rummy safe,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,love rummy app details,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,love rummy supported devices,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,love rummy beginner guide,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,long-tail,love rummy game guide,informational,FAQ question or subsection,NO
love-rummy,/games/love-rummy.html,Love Rummy,Rummy,love rummy,modifier,love rummy rummy,commercial,body / category hub,NO
