slug,game,entity,value,relationship,status
jaiho-rummy,JaiHo Rummy,Genre,,genre,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Game modes,,hasPart,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Developer,,author,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Publisher,,publisher,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Version,,softwareVersion,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,File size,,fileSize,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Device requirements,,requirements,NEEDS SOURCE
jaiho-rummy,JaiHo Rummy,Update history,,dateModified,NEEDS SOURCE
joy-rummy,Joy Rummy,Category,Rummy,isPartOf,known
joy-rummy,Joy Rummy,Platform,Android,operatingSystem,known
joy-rummy,Joy Rummy,Distribution,APK / app listing,distribution,known
joy-rummy,Joy Rummy,Parent brand,Yono app family,brandFamily,known
joy-rummy,Joy Rummy,Market,India,audience,known
joy-rummy,Joy Rummy,Genre,,genre,NEEDS SOURCE
joy-rummy,Joy Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
joy-rummy,Joy Rummy,Game modes,,hasPart,NEEDS SOURCE
joy-rummy,Joy Rummy,Developer,,author,NEEDS SOURCE
joy-rummy,Joy Rummy,Publisher,,publisher,NEEDS SOURCE
joy-rummy,Joy Rummy,Version,,softwareVersion,NEEDS SOURCE
joy-rummy,Joy Rummy,File size,,fileSize,NEEDS SOURCE
joy-rummy,Joy Rummy,Device requirements,,requirements,NEEDS SOURCE
joy-rummy,Joy Rummy,Update history,,dateModified,NEEDS SOURCE
love-rummy,Love Rummy,Category,Rummy,isPartOf,known
love-rummy,Love Rummy,Platform,Android,operatingSystem,known
love-rummy,Love Rummy,Distribution,APK / app listing,distribution,known
love-rummy,Love Rummy,Parent brand,Yono app family,brandFamily,known
love-rummy,Love Rummy,Market,India,audience,known
love-rummy,Love Rummy,Genre,,genre,NEEDS SOURCE
love-rummy,Love Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
love-rummy,Love Rummy,Game modes,,hasPart,NEEDS SOURCE
love-rummy,Love Rummy,Developer,,author,NEEDS SOURCE
love-rummy,Love Rummy,Publisher,,publisher,NEEDS SOURCE
love-rummy,Love Rummy,Version,,softwareVersion,NEEDS SOURCE
love-rummy,Love Rummy,File size,,fileSize,NEEDS SOURCE
love-rummy,Love Rummy,Device requirements,,requirements,NEEDS SOURCE
love-rummy,Love Rummy,Update history,,dateModified,NEEDS SOURCE
max-rummy,Max Rummy,Category,Rummy,isPartOf,known
max-rummy,Max Rummy,Platform,Android,operatingSystem,known
max-rummy,Max Rummy,Distribution,APK / app listing,distribution,known
max-rummy,Max Rummy,Parent brand,Yono app family,brandFamily,known
max-rummy,Max Rummy,Market,India,audience,known
max-rummy,Max Rummy,Genre,,genre,NEEDS SOURCE
max-rummy,Max Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
max-rummy,Max Rummy,Game modes,,hasPart,NEEDS SOURCE
max-rummy,Max Rummy,Developer,,author,NEEDS SOURCE
max-rummy,Max Rummy,Publisher,,publisher,NEEDS SOURCE
max-rummy,Max Rummy,Version,,softwareVersion,NEEDS SOURCE
max-rummy,Max Rummy,File size,,fileSize,NEEDS SOURCE
max-rummy,Max Rummy,Device requirements,,requirements,NEEDS SOURCE
max-rummy,Max Rummy,Update history,,dateModified,NEEDS SOURCE
money-rummy,Money Rummy,Category,Rummy,isPartOf,known
money-rummy,Money Rummy,Platform,Android,operatingSystem,known
money-rummy,Money Rummy,Distribution,APK / app listing,distribution,known
money-rummy,Money Rummy,Parent brand,Yono app family,brandFamily,known
money-rummy,Money Rummy,Market,India,audience,known
money-rummy,Money Rummy,Genre,,genre,NEEDS SOURCE
money-rummy,Money Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
money-rummy,Money Rummy,Game modes,,hasPart,NEEDS SOURCE
money-rummy,Money Rummy,Developer,,author,NEEDS SOURCE
money-rummy,Money Rummy,Publisher,,publisher,NEEDS SOURCE
money-rummy,Money Rummy,Version,,softwareVersion,NEEDS SOURCE
money-rummy,Money Rummy,File size,,fileSize,NEEDS SOURCE
money-rummy,Money Rummy,Device requirements,,requirements,NEEDS SOURCE
money-rummy,Money Rummy,Update history,,dateModified,NEEDS SOURCE
ok-rummy,OK Rummy,Category,Rummy,isPartOf,known
ok-rummy,OK Rummy,Platform,Android,operatingSystem,known
ok-rummy,OK Rummy,Distribution,APK / app listing,distribution,known
ok-rummy,OK Rummy,Parent brand,Yono app family,brandFamily,known
ok-rummy,OK Rummy,Market,India,audience,known
ok-rummy,OK Rummy,Genre,,genre,NEEDS SOURCE
ok-rummy,OK Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
ok-rummy,OK Rummy,Game modes,,hasPart,NEEDS SOURCE
ok-rummy,OK Rummy,Developer,,author,NEEDS SOURCE
ok-rummy,OK Rummy,Publisher,,publisher,NEEDS SOURCE
ok-rummy,OK Rummy,Version,,softwareVersion,NEEDS SOURCE
ok-rummy,OK Rummy,File size,,fileSize,NEEDS SOURCE
ok-rummy,OK Rummy,Device requirements,,requirements,NEEDS SOURCE
ok-rummy,OK Rummy,Update history,,dateModified,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Category,Rummy,isPartOf,known
rumble-rummy,Rumble Rummy,Platform,Android,operatingSystem,known
rumble-rummy,Rumble Rummy,Distribution,APK / app listing,distribution,known
rumble-rummy,Rumble Rummy,Parent brand,Yono app family,brandFamily,known
rumble-rummy,Rumble Rummy,Market,India,audience,known
rumble-rummy,Rumble Rummy,Genre,,genre,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Game modes,,hasPart,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Developer,,author,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Publisher,,publisher,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Version,,softwareVersion,NEEDS SOURCE
rumble-rummy,Rumble Rummy,File size,,fileSize,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Device requirements,,requirements,NEEDS SOURCE
rumble-rummy,Rumble Rummy,Update history,,dateModified,NEEDS SOURCE
rummy-365,Rummy 365,Category,Rummy,isPartOf,known
rummy-365,Rummy 365,Platform,Android,operatingSystem,known
rummy-365,Rummy 365,Distribution,APK / app listing,distribution,known
rummy-365,Rummy 365,Parent brand,Yono app family,brandFamily,known
rummy-365,Rummy 365,Market,India,audience,known
rummy-365,Rummy 365,Genre,,genre,NEEDS SOURCE
rummy-365,Rummy 365,Gameplay mechanics,,describes,NEEDS SOURCE
rummy-365,Rummy 365,Game modes,,hasPart,NEEDS SOURCE
rummy-365,Rummy 365,Developer,,author,NEEDS SOURCE
rummy-365,Rummy 365,Publisher,,publisher,NEEDS SOURCE
rummy-365,Rummy 365,Version,,softwareVersion,NEEDS SOURCE
rummy-365,Rummy 365,File size,,fileSize,NEEDS SOURCE
rummy-365,Rummy 365,Device requirements,,requirements,NEEDS SOURCE
rummy-365,Rummy 365,Update history,,dateModified,NEEDS SOURCE
rummy-77,Rummy 77,Category,Rummy,isPartOf,known
rummy-77,Rummy 77,Platform,Android,operatingSystem,known
rummy-77,Rummy 77,Distribution,APK / app listing,distribution,known
rummy-77,Rummy 77,Parent brand,Yono app family,brandFamily,known
rummy-77,Rummy 77,Market,India,audience,known
rummy-77,Rummy 77,Genre,,genre,NEEDS SOURCE
rummy-77,Rummy 77,Gameplay mechanics,,describes,NEEDS SOURCE
rummy-77,Rummy 77,Game modes,,hasPart,NEEDS SOURCE
rummy-77,Rummy 77,Developer,,author,NEEDS SOURCE
rummy-77,Rummy 77,Publisher,,publisher,NEEDS SOURCE
rummy-77,Rummy 77,Version,,softwareVersion,NEEDS SOURCE
rummy-77,Rummy 77,File size,,fileSize,NEEDS SOURCE
rummy-77,Rummy 77,Device requirements,,requirements,NEEDS SOURCE
rummy-77,Rummy 77,Update history,,dateModified,NEEDS SOURCE
rummy-888,Rummy 888,Category,Rummy,isPartOf,known
rummy-888,Rummy 888,Platform,Android,operatingSystem,known
rummy-888,Rummy 888,Distribution,APK / app listing,distribution,known
rummy-888,Rummy 888,Parent brand,Yono app family,brandFamily,known
rummy-888,Rummy 888,Market,India,audience,known
rummy-888,Rummy 888,Genre,,genre,NEEDS SOURCE
rummy-888,Rummy 888,Gameplay mechanics,,describes,NEEDS SOURCE
rummy-888,Rummy 888,Game modes,,hasPart,NEEDS SOURCE
rummy-888,Rummy 888,Developer,,author,NEEDS SOURCE
rummy-888,Rummy 888,Publisher,,publisher,NEEDS SOURCE
rummy-888,Rummy 888,Version,,softwareVersion,NEEDS SOURCE
rummy-888,Rummy 888,File size,,fileSize,NEEDS SOURCE
rummy-888,Rummy 888,Device requirements,,requirements,NEEDS SOURCE
rummy-888,Rummy 888,Update history,,dateModified,NEEDS SOURCE
rummy-91,Rummy 91,Category,Rummy,isPartOf,known
rummy-91,Rummy 91,Platform,Android,operatingSystem,known
rummy-91,Rummy 91,Distribution,APK / app listing,distribution,known
rummy-91,Rummy 91,Parent brand,Yono app family,brandFamily,known
rummy-91,Rummy 91,Market,India,audience,known
rummy-91,Rummy 91,Genre,,genre,NEEDS SOURCE
rummy-91,Rummy 91,Gameplay mechanics,,describes,NEEDS SOURCE
rummy-91,Rummy 91,Game modes,,hasPart,NEEDS SOURCE
rummy-91,Rummy 91,Developer,,author,NEEDS SOURCE
rummy-91,Rummy 91,Publisher,,publisher,NEEDS SOURCE
rummy-91,Rummy 91,Version,,softwareVersion,NEEDS SOURCE
rummy-91,Rummy 91,File size,,fileSize,NEEDS SOURCE
rummy-91,Rummy 91,Device requirements,,requirements,NEEDS SOURCE
rummy-91,Rummy 91,Update history,,dateModified,NEEDS SOURCE
rummy-yono,Rummy Yono,Category,Rummy,isPartOf,known
rummy-yono,Rummy Yono,Platform,Android,operatingSystem,known
rummy-yono,Rummy Yono,Distribution,APK / app listing,distribution,known
rummy-yono,Rummy Yono,Parent brand,Yono app family,brandFamily,known
rummy-yono,Rummy Yono,Market,India,audience,known
rummy-yono,Rummy Yono,Genre,,genre,NEEDS SOURCE
rummy-yono,Rummy Yono,Gameplay mechanics,,describes,NEEDS SOURCE
rummy-yono,Rummy Yono,Game modes,,hasPart,NEEDS SOURCE
rummy-yono,Rummy Yono,Developer,,author,NEEDS SOURCE
rummy-yono,Rummy Yono,Publisher,,publisher,NEEDS SOURCE
rummy-yono,Rummy Yono,Version,,softwareVersion,NEEDS SOURCE
rummy-yono,Rummy Yono,File size,,fileSize,NEEDS SOURCE
rummy-yono,Rummy Yono,Device requirements,,requirements,NEEDS SOURCE
rummy-yono,Rummy Yono,Update history,,dateModified,NEEDS SOURCE
rummy-zip,Rummy Zip,Category,Rummy,isPartOf,known
rummy-zip,Rummy Zip,Platform,Android,operatingSystem,known
rummy-zip,Rummy Zip,Distribution,APK / app listing,distribution,known
rummy-zip,Rummy Zip,Parent brand,Yono app family,brandFamily,known
rummy-zip,Rummy Zip,Market,India,audience,known
rummy-zip,Rummy Zip,Genre,,genre,NEEDS SOURCE
rummy-zip,Rummy Zip,Gameplay mechanics,,describes,NEEDS SOURCE
rummy-zip,Rummy Zip,Game modes,,hasPart,NEEDS SOURCE
rummy-zip,Rummy Zip,Developer,,author,NEEDS SOURCE
rummy-zip,Rummy Zip,Publisher,,publisher,NEEDS SOURCE
rummy-zip,Rummy Zip,Version,,softwareVersion,NEEDS SOURCE
rummy-zip,Rummy Zip,File size,,fileSize,NEEDS SOURCE
rummy-zip,Rummy Zip,Device requirements,,requirements,NEEDS SOURCE
rummy-zip,Rummy Zip,Update history,,dateModified,NEEDS SOURCE
top-rummy,Top Rummy,Category,Rummy,isPartOf,known
top-rummy,Top Rummy,Platform,Android,operatingSystem,known
top-rummy,Top Rummy,Distribution,APK / app listing,distribution,known
top-rummy,Top Rummy,Parent brand,Yono app family,brandFamily,known
top-rummy,Top Rummy,Market,India,audience,known
top-rummy,Top Rummy,Genre,,genre,NEEDS SOURCE
top-rummy,Top Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
top-rummy,Top Rummy,Game modes,,hasPart,NEEDS SOURCE
top-rummy,Top Rummy,Developer,,author,NEEDS SOURCE
top-rummy,Top Rummy,Publisher,,publisher,NEEDS SOURCE
top-rummy,Top Rummy,Version,,softwareVersion,NEEDS SOURCE
top-rummy,Top Rummy,File size,,fileSize,NEEDS SOURCE
top-rummy,Top Rummy,Device requirements,,requirements,NEEDS SOURCE
top-rummy,Top Rummy,Update history,,dateModified,NEEDS SOURCE
win-rummy,Win Rummy,Category,Rummy,isPartOf,known
win-rummy,Win Rummy,Platform,Android,operatingSystem,known
win-rummy,Win Rummy,Distribution,APK / app listing,distribution,known
win-rummy,Win Rummy,Parent brand,Yono app family,brandFamily,known
win-rummy,Win Rummy,Market,India,audience,known
win-rummy,Win Rummy,Genre,,genre,NEEDS SOURCE
win-rummy,Win Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
win-rummy,Win Rummy,Game modes,,hasPart,NEEDS SOURCE
win-rummy,Win Rummy,Developer,,author,NEEDS SOURCE
win-rummy,Win Rummy,Publisher,,publisher,NEEDS SOURCE
win-rummy,Win Rummy,Version,,softwareVersion,NEEDS SOURCE
win-rummy,Win Rummy,File size,,fileSize,NEEDS SOURCE
win-rummy,Win Rummy,Device requirements,,requirements,NEEDS SOURCE
win-rummy,Win Rummy,Update history,,dateModified,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Category,Rummy,isPartOf,known
winzo-rummy,Winzo Rummy,Platform,Android,operatingSystem,known
winzo-rummy,Winzo Rummy,Distribution,APK / app listing,distribution,known
winzo-rummy,Winzo Rummy,Parent brand,Yono app family,brandFamily,known
winzo-rummy,Winzo Rummy,Market,India,audience,known
winzo-rummy,Winzo Rummy,Genre,,genre,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Game modes,,hasPart,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Developer,,author,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Publisher,,publisher,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Version,,softwareVersion,NEEDS SOURCE
winzo-rummy,Winzo Rummy,File size,,fileSize,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Device requirements,,requirements,NEEDS SOURCE
winzo-rummy,Winzo Rummy,Update history,,dateModified,NEEDS SOURCE
yn-rummy,YN Rummy,Category,Rummy,isPartOf,known
yn-rummy,YN Rummy,Platform,Android,operatingSystem,known
yn-rummy,YN Rummy,Distribution,APK / app listing,distribution,known
yn-rummy,YN Rummy,Parent brand,Yono app family,brandFamily,known
yn-rummy,YN Rummy,Market,India,audience,known
yn-rummy,YN Rummy,Genre,,genre,NEEDS SOURCE
yn-rummy,YN Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
yn-rummy,YN Rummy,Game modes,,hasPart,NEEDS SOURCE
yn-rummy,YN Rummy,Developer,,author,NEEDS SOURCE
yn-rummy,YN Rummy,Publisher,,publisher,NEEDS SOURCE
yn-rummy,YN Rummy,Version,,softwareVersion,NEEDS SOURCE
yn-rummy,YN Rummy,File size,,fileSize,NEEDS SOURCE
yn-rummy,YN Rummy,Device requirements,,requirements,NEEDS SOURCE
yn-rummy,YN Rummy,Update history,,dateModified,NEEDS SOURCE
yono-rummy,Yono Rummy,Category,Rummy,isPartOf,known
yono-rummy,Yono Rummy,Platform,Android,operatingSystem,known
yono-rummy,Yono Rummy,Distribution,APK / app listing,distribution,known
yono-rummy,Yono Rummy,Parent brand,Yono app family,brandFamily,known
yono-rummy,Yono Rummy,Market,India,audience,known
yono-rummy,Yono Rummy,Genre,,genre,NEEDS SOURCE
yono-rummy,Yono Rummy,Gameplay mechanics,,describes,NEEDS SOURCE
yono-rummy,Yono Rummy,Game modes,,hasPart,NEEDS SOURCE
yono-rummy,Yono Rummy,Developer,,author,NEEDS SOURCE
yono-rummy,Yono Rummy,Publisher,,publisher,NEEDS SOURCE
yono-rummy,Yono Rummy,Version,,softwareVersion,NEEDS SOURCE
yono-rummy,Yono Rummy,File size,,fileSize,NEEDS SOURCE
yono-rummy,Yono Rummy,Device requirements,,requirements,NEEDS SOURCE
yono-rummy,Yono Rummy,Update history,,dateModified,NEEDS SOURCE
101z,101z,Category,Slots & 777,isPartOf,known
101z,101z,Platform,Android,operatingSystem,known
101z,101z,Distribution,APK / app listing,distribution,known
101z,101z,Parent brand,Yono app family,brandFamily,known
101z,101z,Market,India,audience,known
101z,101z,Genre,,genre,NEEDS SOURCE
101z,101z,Gameplay mechanics,,describes,NEEDS SOURCE
101z,101z,Game modes,,hasPart,NEEDS SOURCE
101z,101z,Developer,,author,NEEDS SOURCE
101z,101z,Publisher,,publisher,NEEDS SOURCE
101z,101z,Version,,softwareVersion,NEEDS SOURCE
101z,101z,File size,,fileSize,NEEDS SOURCE
101z,101z,Device requirements,,requirements,NEEDS SOURCE
101z,101z,Update history,,dateModified,NEEDS SOURCE
567-slots,567 Slots,Category,Slots & 777,isPartOf,known
567-slots,567 Slots,Platform,Android,operatingSystem,known
567-slots,567 Slots,Distribution,APK / app listing,distribution,known
567-slots,567 Slots,Parent brand,Yono app family,brandFamily,known
567-slots,567 Slots,Market,India,audience,known
567-slots,567 Slots,Genre,,genre,NEEDS SOURCE
567-slots,567 Slots,Gameplay mechanics,,describes,NEEDS SOURCE
567-slots,567 Slots,Game modes,,hasPart,NEEDS SOURCE
567-slots,567 Slots,Developer,,author,NEEDS SOURCE
567-slots,567 Slots,Publisher,,publisher,NEEDS SOURCE
567-slots,567 Slots,Version,,softwareVersion,NEEDS SOURCE
567-slots,567 Slots,File size,,fileSize,NEEDS SOURCE
567-slots,567 Slots,Device requirements,,requirements,NEEDS SOURCE
567-slots,567 Slots,Update history,,dateModified,NEEDS SOURCE
777-game,777 Game,Category,Slots & 777,isPartOf,known
777-game,777 Game,Platform,Android,operatingSystem,known
777-game,777 Game,Distribution,APK / app listing,distribution,known
777-game,777 Game,Parent brand,Yono app family,brandFamily,known
777-game,777 Game,Market,India,audience,known
777-game,777 Game,Genre,,genre,NEEDS SOURCE
777-game,777 Game,Gameplay mechanics,,describes,NEEDS SOURCE
777-game,777 Game,Game modes,,hasPart,NEEDS SOURCE
777-game,777 Game,Developer,,author,NEEDS SOURCE
777-game,777 Game,Publisher,,publisher,NEEDS SOURCE
777-game,777 Game,Version,,softwareVersion,NEEDS SOURCE
777-game,777 Game,File size,,fileSize,NEEDS SOURCE
777-game,777 Game,Device requirements,,requirements,NEEDS SOURCE
777-game,777 Game,Update history,,dateModified,NEEDS SOURCE
789-jackpots,789 Jackpots,Category,Slots & 777,isPartOf,known
789-jackpots,789 Jackpots,Platform,Android,operatingSystem,known
789-jackpots,789 Jackpots,Distribution,APK / app listing,distribution,known
789-jackpots,789 Jackpots,Parent brand,Yono app family,brandFamily,known
789-jackpots,789 Jackpots,Market,India,audience,known
789-jackpots,789 Jackpots,Genre,,genre,NEEDS SOURCE
789-jackpots,789 Jackpots,Gameplay mechanics,,describes,NEEDS SOURCE
789-jackpots,789 Jackpots,Game modes,,hasPart,NEEDS SOURCE
789-jackpots,789 Jackpots,Developer,,author,NEEDS SOURCE
789-jackpots,789 Jackpots,Publisher,,publisher,NEEDS SOURCE
789-jackpots,789 Jackpots,Version,,softwareVersion,NEEDS SOURCE
789-jackpots,789 Jackpots,File size,,fileSize,NEEDS SOURCE
789-jackpots,789 Jackpots,Device requirements,,requirements,NEEDS SOURCE
789-jackpots,789 Jackpots,Update history,,dateModified,NEEDS SOURCE
